,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
21359,25-Mar-19,9:50:00,0,15,8,25,0,19,25,22,45,0,3,4,3,8,4,12,49,20,0,6,12,0,0,18,13,33,29,0,25,0,22,4
21369,25-Mar-19,10:00:00,0,17,18,24,17,13,25,31,23,7,4,0,15,19,16,16,35,12,0,18,12,21,31,10,11,47,27,20,20,12,20,15
21379,25-Mar-19,10:10:00,2,19,27,20,11,12,37,20,32,1,20,14,5,20,31,23,23,24,0,21,10,25,23,8,15,36,21,12,15,38,23,32
21389,25-Mar-19,10:20:00,15,19,21,23,7,12,18,22,35,27,32,11,2,11,31,22,20,17,0,25,14,14,35,13,12,33,20,2,10,27,18,20
21399,25-Mar-19,10:30:00,19,15,25,18,2,3,16,16,46,0,5,9,2,15,26,24,18,0,0,10,13,8,19,6,10,10,4,0,6,4,22,17
21409,25-Mar-19,10:40:00,0,1,15,11,9,3,84,12,21,2,3,13,0,10,21,4,13,0,0,0,8,6,13,8,2,0,25,0,0,4,15,0
21419,25-Mar-19,10:50:00,0,3,25,0,0,12,9,0,19,0,2,0,0,6,31,0,11,4,0,5,5,0,31,8,12,0,12,0,8,0,4,2
21429,25-Mar-19,11:00:00,0,0,15,0,0,14,6,16,0,0,0,0,0,12,0,0,18,0,0,0,13,1,8,0,5,0,0,0,20,0,22,0
21439,25-Mar-19,11:10:00,0,1,2,2,0,12,0,0,0,0,0,0,0,0,0,0,12,3,0,0,12,0,23,0,6,0,0,0,0,0,6,0
21449,25-Mar-19,11:20:00,0,0,11,15,10,0,0,11,3,0,0,0,0,10,0,0,12,4,0,1,5,1,6,0,9,0,0,0,0,0,2,0
21459,25-Mar-19,11:30:00,0,0,4,0,0,3,0,10,0,0,0,0,0,1,0,0,6,0,0,0,2,0,0,0,1,0,2,0,0,0,3,0
21469,25-Mar-19,11:40:00,0,0,0,5,6,6,3,0,0,0,0,0,1,0,0,0,5,0,0,0,12,0,0,0,0,2,0,0,0,0,6,2
21479,25-Mar-19,11:50:00,0,0,0,7,2,0,2,0,0,0,0,0,4,0,0,0,0,6,0,0,9,2,0,6,0,0,0,0,0,0,0,0
21489,25-Mar-19,12:00:00,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21499,25-Mar-19,12:10:00,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21509,25-Mar-19,12:20:00,0,0,0,0,0,0,15,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21519,25-Mar-19,12:30:00,2,5,3,5,12,2,10,0,16,4,17,13,5,2,1,0,5,29,0,11,4,5,5,0,2,11,12,18,1,5,8,16
21529,25-Mar-19,12:40:00,4,3,2,16,11,12,20,0,1,0,12,0,23,0,0,0,24,16,0,7,40,11,8,11,10,35,30,11,0,4,13,1
21539,25-Mar-19,12:50:00,3,1,1,15,12,6,10,0,8,0,7,0,5,0,0,0,0,17,0,0,42,3,0,6,2,43,19,2,16,3,7,0
21549,25-Mar-19,13:00:00,24,2,0,5,9,27,6,0,7,0,0,0,8,0,0,6,0,6,0,0,12,18,0,2,4,20,20,0,0,2,1,0
21559,25-Mar-19,13:10:00,9,4,0,6,0,15,5,0,23,0,2,0,0,3,0,3,0,16,0,0,29,1,0,8,8,4,5,0,0,0,0,0
21569,25-Mar-19,13:20:00,0,7,0,2,0,11,0,0,0,0,0,0,0,1,0,0,0,3,0,1,9,0,0,3,5,0,0,2,0,0,0,0
21579,25-Mar-19,13:30:00,0,0,0,0,0,4,10,1,13,4,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,7,1,0,4,0,4
21589,25-Mar-19,13:40:00,0,7,0,2,0,0,0,3,4,20,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,4
21599,25-Mar-19,13:50:00,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0
21609,25-Mar-19,14:00:00,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
21619,25-Mar-19,14:10:00,0,24,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21629,25-Mar-19,14:20:00,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21639,25-Mar-19,14:30:00,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21649,25-Mar-19,14:40:00,0,29,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21659,25-Mar-19,14:50:00,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
21669,25-Mar-19,15:00:00,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
