,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
93551,29-Sep-21,11:00:00,25,31,9,35,30,29,48,42,7,20,53,20,34,21,0,43,9,6,39,35,48,6,18,28,17,24,38,13,45,60,80,30
93561,29-Sep-21,11:10:00,26,37,22,27,42,37,48,38,22,23,56,18,24,30,6,30,14,25,51,36,63,11,24,42,48,29,33,17,33,48,67,31
93571,29-Sep-21,11:20:00,31,26,23,23,38,35,43,102,12,25,54,28,28,30,2,30,13,20,41,36,68,12,21,38,28,36,57,19,47,64,58,27
93581,29-Sep-21,11:30:00,43,48,27,40,42,54,54,96,38,38,55,40,52,32,3,38,44,19,57,46,68,36,25,35,70,53,67,18,65,65,81,41
93591,29-Sep-21,11:40:00,16,36,27,27,36,35,35,38,39,27,43,49,55,39,7,19,29,12,30,38,43,28,29,21,31,35,49,16,37,49,55,31
93601,29-Sep-21,11:50:00,16,37,7,16,34,38,34,57,48,13,27,37,18,23,7,16,26,15,22,35,47,23,14,10,32,11,6,14,24,31,59,31
93611,29-Sep-21,12:00:00,18,44,19,24,33,28,41,53,14,19,33,27,15,18,0,9,9,8,20,12,52,8,18,6,29,15,11,13,20,19,63,18
93621,29-Sep-21,12:10:00,26,37,16,34,24,25,42,43,10,17,41,15,15,19,0,18,10,14,26,15,51,10,20,17,27,24,16,17,18,16,67,11
93631,29-Sep-21,12:20:00,13,24,17,14,24,6,14,18,17,13,11,16,19,16,1,18,7,31,21,17,32,6,12,22,11,19,9,14,10,13,60,18
93641,29-Sep-21,12:30:00,16,8,14,25,13,12,18,16,24,19,5,23,12,19,1,18,6,4,37,33,15,6,22,15,24,29,6,16,14,7,49,22
93651,29-Sep-21,12:40:00,22,6,19,35,17,25,14,8,13,17,10,17,10,24,2,15,3,8,22,17,13,4,16,20,10,22,12,14,14,8,50,14
93661,29-Sep-21,12:50:00,16,5,13,24,17,18,15,12,18,15,10,17,7,17,5,16,5,16,24,33,15,8,13,22,21,29,11,12,12,11,48,12
93671,29-Sep-21,13:00:00,17,12,11,17,20,13,12,16,11,15,9,17,11,19,1,12,2,4,21,13,13,6,13,12,16,22,15,21,7,9,34,6
93681,29-Sep-21,13:10:00,9,7,9,16,20,10,12,19,17,20,12,17,13,15,1,14,4,28,19,12,16,4,9,12,12,17,6,7,3,3,30,14
93691,29-Sep-21,13:20:00,14,7,7,6,16,25,14,11,17,18,10,24,12,11,0,6,6,15,24,11,14,4,19,11,8,23,12,2,5,4,25,10
93701,29-Sep-21,13:30:00,21,32,7,16,15,12,7,28,15,18,7,9,17,17,1,10,6,3,26,25,11,5,10,12,12,20,13,9,11,7,13,7
93711,29-Sep-21,13:40:00,20,23,14,14,17,11,15,15,13,3,5,21,11,16,10,13,7,0,11,8,19,5,11,9,12,16,10,1,6,5,17,13
93721,29-Sep-21,13:50:00,19,8,9,9,18,5,9,11,17,18,6,8,12,17,0,7,6,6,14,10,13,0,12,8,27,21,15,14,6,2,16,13
93731,29-Sep-21,14:00:00,9,9,7,15,22,10,8,7,17,8,11,14,10,10,0,17,4,0,14,13,17,4,15,8,13,19,7,2,6,3,18,8
