Time,Fly Activity
11:00:00,31
11:10:00,37
11:20:00,26
11:30:00,48
11:40:00,36
11:50:00,37
12:00:00,44
12:10:00,37
12:20:00,24
12:30:00,8
12:40:00,6
12:50:00,5
13:00:00,12
13:10:00,7
13:20:00,7
13:30:00,32
13:40:00,23
13:50:00,8
14:00:00,9
14:10:00,14
14:20:00,11
14:30:00,8
14:40:00,5
14:50:00,8
15:00:00,9
15:10:00,5
15:20:00,12
15:30:00,6
15:40:00,21
15:50:00,14
16:00:00,6
16:10:00,2
16:20:00,6
16:30:00,8
16:40:00,6
16:50:00,7
17:00:00,6
17:10:00,10
17:20:00,10
17:30:00,12
17:40:00,3
17:50:00,4
18:00:00,6
18:10:00,6
18:20:00,5
18:30:00,2
18:40:00,8
18:50:00,4
19:00:00,7
19:10:00,13
19:20:00,5
19:30:00,8
19:40:00,8
19:50:00,5
20:00:00,4
20:10:00,3
20:20:00,1
20:30:00,4
20:40:00,10
20:50:00,5
21:00:00,1
21:10:00,6
21:20:00,3
21:30:00,2
21:40:00,4
21:50:00,6
22:00:00,1
22:10:00,3
22:20:00,8
22:30:00,2
22:40:00,2
22:50:00,1
23:00:00,10
23:10:00,5
23:20:00,2
23:30:00,5
23:40:00,8
23:50:00,9
0:00:00,4
0:10:00,4
0:20:00,2
0:30:00,9
0:40:00,6
0:50:00,3
1:00:00,5
1:10:00,2
1:20:00,7
1:30:00,2
1:40:00,8
1:50:00,0
2:00:00,3
2:10:00,2
2:20:00,2
2:30:00,1
2:40:00,1
2:50:00,2
3:00:00,0
3:10:00,4
3:20:00,1
3:30:00,10
3:40:00,5
3:50:00,4
4:00:00,0
4:10:00,3
4:20:00,3
4:30:00,2
4:40:00,2
4:50:00,2
5:00:00,6
5:10:00,32
5:20:00,2
5:30:00,0
5:40:00,3
5:50:00,7
6:00:00,0
6:10:00,1
6:20:00,4
6:30:00,3
6:40:00,9
6:50:00,9
7:00:00,9
7:10:00,4
7:20:00,3
7:30:00,3
7:40:00,0
7:50:00,0
8:00:00,3
8:10:00,0
8:20:00,0
8:30:00,3
8:40:00,3
8:50:00,7
9:00:00,0
9:10:00,2
9:20:00,5
9:30:00,5
9:40:00,2
9:50:00,16
10:00:00,13
10:10:00,1
10:20:00,0
10:30:00,3
10:40:00,7
10:50:00,1
11:00:00,1
11:10:00,14
11:20:00,9
11:30:00,10
11:40:00,28
11:50:00,19
12:00:00,25
12:10:00,26
12:20:00,32
12:30:00,8
12:40:00,10
12:50:00,27
13:00:00,22
13:10:00,37
13:20:00,24
13:30:00,20
13:40:00,20
13:50:00,17
14:00:00,9
14:10:00,5
14:20:00,17
14:30:00,0
14:40:00,0
14:50:00,14
15:00:00,10
15:10:00,14
15:20:00,0
15:30:00,6
15:40:00,0
15:50:00,9
16:00:00,15
16:10:00,26
16:20:00,17
16:30:00,19
16:40:00,6
16:50:00,17
17:00:00,15
17:10:00,22
17:20:00,11
17:30:00,21
17:40:00,10
17:50:00,7
18:00:00,0
18:10:00,17
18:20:00,33
18:30:00,0
18:40:00,0
18:50:00,2
19:00:00,4
19:10:00,0
19:20:00,0
19:30:00,0
19:40:00,0
19:50:00,6
20:00:00,0
20:10:00,0
20:20:00,5
20:30:00,3
20:40:00,14
20:50:00,9
21:00:00,9
21:10:00,0
21:20:00,2
21:30:00,0
21:40:00,0
21:50:00,0
22:00:00,3
22:10:00,3
22:20:00,23
22:30:00,21
22:40:00,25
22:50:00,3
23:00:00,1
23:10:00,5
23:20:00,36
23:30:00,2
23:40:00,11
23:50:00,7
0:00:00,10
0:10:00,14
0:20:00,2
0:30:00,15
0:40:00,21
0:50:00,16
1:00:00,3
1:10:00,5
1:20:00,8
1:30:00,0
1:40:00,8
1:50:00,3
2:00:00,4
2:10:00,0
2:20:00,0
2:30:00,0
2:40:00,0
2:50:00,0
3:00:00,0
3:10:00,0
3:20:00,1
3:30:00,0
3:40:00,0
3:50:00,0
4:00:00,2
4:10:00,0
4:20:00,1
4:30:00,18
4:40:00,8
4:50:00,44
5:00:00,33
5:10:00,1
5:20:00,0
5:30:00,0
5:40:00,0
5:50:00,2
6:00:00,7
6:10:00,1
6:20:00,0
6:30:00,0
6:40:00,0
6:50:00,2
7:00:00,70
7:10:00,0
7:20:00,0
7:30:00,0
7:40:00,0
7:50:00,0
8:00:00,0
8:10:00,0
8:20:00,0
8:30:00,0
8:40:00,0
8:50:00,0
9:00:00,0
9:10:00,0
9:20:00,0
9:30:00,0
9:40:00,0
9:50:00,0
10:00:00,0
10:10:00,0
10:20:00,0
10:30:00,0
10:40:00,0
10:50:00,0
11:00:00,0
11:10:00,0
11:20:00,0
11:30:00,0
11:40:00,0
11:50:00,0
12:00:00,0
12:10:00,0
12:20:00,0
12:30:00,0
12:40:00,0
12:50:00,0
13:00:00,0
13:10:00,0
13:20:00,0
13:30:00,0
13:40:00,0
13:50:00,0
14:00:00,0
14:10:00,0
14:20:00,0
14:30:00,0
14:40:00,0
14:50:00,0
15:00:00,0
15:10:00,0
15:20:00,0
15:30:00,0
15:40:00,0
15:50:00,0
16:00:00,0
16:10:00,0
16:20:00,0
16:30:00,0
16:40:00,0
16:50:00,0
17:00:00,0
17:10:00,0
17:20:00,0
17:30:00,0
17:40:00,0
17:50:00,0
18:00:00,0
18:10:00,0
18:20:00,0
18:30:00,0
18:40:00,0
18:50:00,0
19:00:00,0
19:10:00,0
19:20:00,0
19:30:00,0
19:40:00,0
19:50:00,0
20:00:00,0
20:10:00,0
20:20:00,0
20:30:00,0
20:40:00,0
20:50:00,0
21:00:00,0
21:10:00,0
21:20:00,0
21:30:00,0
21:40:00,0
21:50:00,0
22:00:00,0
22:10:00,0
22:20:00,0
22:30:00,0
22:40:00,0
22:50:00,0
23:00:00,0
23:10:00,0
23:20:00,0
23:30:00,0
23:40:00,0
23:50:00,0
0:00:00,0
0:10:00,0
0:20:00,0
0:30:00,0
0:40:00,0
0:50:00,0
1:00:00,0
1:10:00,0
1:20:00,0
1:30:00,0
1:40:00,0
1:50:00,0
2:00:00,0
2:10:00,0
2:20:00,0
2:30:00,0
2:40:00,0
2:50:00,0
3:00:00,0
3:10:00,0
3:20:00,0
3:30:00,0
3:40:00,0
3:50:00,0
4:00:00,0
4:10:00,0
4:20:00,0
4:30:00,0
4:40:00,0
4:50:00,0
5:00:00,0
5:10:00,0
5:20:00,0
5:30:00,0
5:40:00,0
5:50:00,0
6:00:00,0
6:10:00,0
6:20:00,0
6:30:00,0
6:40:00,0
6:50:00,0
7:00:00,0
7:10:00,0
7:20:00,0
7:30:00,0
7:40:00,0
7:50:00,0
8:00:00,0
8:10:00,0
8:20:00,0
8:30:00,0
8:40:00,0
8:50:00,0
9:00:00,0
9:10:00,0
9:20:00,0
9:30:00,0
9:40:00,0
9:50:00,0
10:00:00,0
10:10:00,0
10:20:00,0
10:30:00,0
10:40:00,0
10:50:00,0
11:00:00,0
11:10:00,0
11:20:00,0
11:30:00,0
11:40:00,0
11:50:00,0
12:00:00,0
12:10:00,0
12:20:00,0
12:30:00,0
12:40:00,0
12:50:00,0
13:00:00,0
13:10:00,0
13:20:00,0
13:30:00,0
13:40:00,0
13:50:00,0
14:00:00,0
14:10:00,0
14:20:00,0
14:30:00,0
14:40:00,0
14:50:00,0
15:00:00,0
15:10:00,0
15:20:00,0
15:30:00,0
15:40:00,0
15:50:00,0
16:00:00,0
16:10:00,0
