Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value,Calculated t,Calculated z
1,116,32,196,4.575,4.575,38,4.296296296,8
1,143,36,195,0.532,0.532,40,5.296296296,8
1,251,57,178,3.485,3.485,29,9.296296296,8
1,278,63,171,1.189,1.189,29,10.2962963,8
1,305,72,157,2.147,2.147,161,11.2962963,8
1,331,84,154,1.596,1.596,14,12.25925926,7
2,468,67,188,4.904,4.904,0,17.33333333,9
2,495,81,181,2.019,2.019,126,18.33333333,9
2,522,86,170,1.559,1.559,32,19.33333333,9
2,550,74,174,1.632,1.632,87,20.37037037,10
2,306,115,117,9.058,9.058,78,11.33333333,9
2,333,157,96,6.058,6.058,32,12.33333333,9
2,360,175,77,3.376,3.376,32,13.33333333,9
2,387,186,68,1.833,1.833,48,14.33333333,9
2,414,191,68,0.645,0.645,43,15.33333333,9
2,441,188,72,0.645,0.645,16,16.33333333,9
2,468,188,72,0,0,14,17.33333333,9
3,468,53,205,-1,-1,81,17.33333333,9
3,495,77,184,4.114,4.114,30,18.33333333,9
3,522,84,174,1.575,1.575,58,19.33333333,9
3,550,87,170,0.645,0.645,62,20.37037037,10
3,577,93,162,1.29,1.29,80,21.37037037,10
3,874,74,176,3.045,3.045,14,32.37037037,10
3,901,75,172,0.532,0.532,48,33.37037037,10
3,928,93,146,4.079,4.079,0,34.37037037,10
3,955,112,124,3.75,3.75,64,35.37037037,10
3,982,130,103,3.568,3.568,0,36.37037037,10
3,1009,130,96,0.903,0.903,0,37.37037037,10
3,1036,158,70,4.929,4.929,96,38.37037037,10
5,334,6,189,-1,-1,141,12.37037037,10
5,361,63,154,8.629,8.629,46,13.37037037,10
5,388,68,152,0.695,0.695,77,14.37037037,10
5,415,77,150,1.189,1.189,62,15.37037037,10
5,468,131,94,10.036,10.036,16,17.33333333,9
5,496,133,101,0.939,0.939,128,18.37037037,10
5,523,152,80,3.653,3.653,48,19.37037037,10
5,550,170,56,3.87,3.87,129,20.37037037,10
5,577,178,50,1.29,1.29,125,21.37037037,10
5,604,178,50,0,0,91,22.37037037,10
6,170,107,141,-1,-1,61,6.296296296,8
6,198,127,132,2.829,2.829,64,7.333333333,9
6,225,125,127,0.695,0.695,48,8.333333333,9
6,170,107,139,2.791,2.791,32,6.296296296,8
6,171,113,135,0.93,0.93,16,6.333333333,9
6,198,124,125,1.918,1.918,48,7.333333333,9
6,225,130,111,1.965,1.965,32,8.333333333,9
6,252,126,116,0.826,0.826,16,9.333333333,9
6,279,125,116,0.129,0.129,64,10.33333333,9
6,306,124,118,0.288,0.288,64,11.33333333,9
7,713,173,71,-1,-1,16,26.40740741,11
7,739,173,77,0.774,0.774,90,27.37037037,10
7,766,173,76,0.129,0.129,90,28.37037037,10
8,656,55,175,-1,-1,88,24.2962963,8
8,683,80,156,4.051,4.051,43,25.2962963,8
8,468,130,102,9.494,9.494,32,17.33333333,9
8,496,134,101,0.532,0.532,96,18.37037037,10
8,523,149,85,2.829,2.829,115,19.37037037,10
8,550,169,57,4.439,4.439,80,20.37037037,10
9,117,52,191,-1,-1,14,4.333333333,9
9,144,61,171,2.829,2.829,14,5.333333333,9
9,171,72,158,2.197,2.197,177,6.333333333,9
9,171,70,158,0.258,0.258,222,6.333333333,9
9,198,71,158,0.129,0.129,194,7.333333333,9
10,5011,161,82,-1,-1,43,185.5925926,16
10,5038,128,109,5.5,5.5,16,186.5925926,16
10,5065,117,121,2.1,2.1,16,187.5925926,16
10,5090,117,121,0,0,177,188.5185185,14
10,5117,118,122,0.182,0.182,65,189.5185185,14
10,5144,111,135,1.905,1.905,48,190.5185185,14
10,5847,117,129,1.095,1.095,32,216.5555556,15
10,5874,117,129,0,0,64,217.5555556,15
10,5901,115,136,0.939,0.939,30,218.5555556,15
10,5928,97,163,4.186,4.186,32,219.5555556,15
10,5955,84,176,2.372,2.372,32,220.5555556,15
