track,original_slice,T_frame,X_pixel,Y_pixel,Z_slice,T_s,X_microns,Y_microns,Z_microns,speed,velocity,speed_2D
1.0,116.0,4.0,32.0,196.0,8.0,25.08,3.488,21.364,12.0,0.0,0.0,0.0
1.0,143.0,5.0,36.0,195.0,8.0,31.349999999999998,3.924,21.255,12.0,0.07167759381057821,0.07167759381057821,0.07167759381057821
1.0,251.0,9.0,57.0,178.0,8.0,56.42999999999999,6.213,19.402,12.0,0.46969981288216456,0.46969981288216456,0.46969981288216456
1.0,278.0,10.0,63.0,171.0,8.0,62.699999999999996,6.867,18.639,12.0,0.16027597222407114,0.16027597222407114,0.16027597222407114
1.0,305.0,11.0,72.0,157.0,8.0,68.97,7.848,17.113,12.0,0.289333580622514,0.289333580622514,0.289333580622514
1.0,331.0,12.0,84.0,154.0,7.0,75.24,9.156,16.786,10.5,0.32167097948463486,0.32167097948463486,0.21503278143173452
2.0,468.0,17.0,67.0,188.0,9.0,106.58999999999999,7.303,20.492,13.5,0.8158646158767119,-0.8158646158767119,0.6608347627284068
2.0,495.0,18.0,81.0,181.0,9.0,112.85999999999999,8.829,19.729,13.5,0.27210843171169713,0.27210843171169713,0.27210843171169713
2.0,522.0,19.0,86.0,170.0,9.0,119.13,9.374,18.53,13.5,0.21005614212469004,0.21005614212469004,0.21005614212469004
2.0,550.0,20.0,74.0,174.0,10.0,125.39999999999999,8.066,18.966,15.0,0.3249426615397928,-0.3249426615397928,0.21989681975014566
2.0,306.0,11.0,115.0,117.0,9.0,68.97,12.535,12.753,13.5,1.2438486980938894,1.2438486980938894,1.2206254387802702
2.0,333.0,12.0,157.0,96.0,9.0,75.24,17.113,10.464,13.5,0.8163252951350907,0.8163252951350907,0.8163252951350907
2.0,360.0,13.0,175.0,77.0,9.0,81.50999999999999,19.075,8.393,13.5,0.45499250519456513,0.45499250519456513,0.45499250519456513
2.0,387.0,14.0,186.0,68.0,9.0,87.78,20.274,7.412,13.5,0.24707832121007312,0.24707832121007312,0.24707832121007312
2.0,414.0,15.0,191.0,68.0,9.0,94.05,20.819,7.412,13.5,0.08692185007974453,0.08692185007974453,0.08692185007974453
2.0,441.0,16.0,188.0,72.0,9.0,100.32,20.492,7.848,13.5,0.08692185007974464,-0.08692185007974464,0.08692185007974464
2.0,468.0,17.0,188.0,72.0,9.0,106.58999999999999,20.492,7.848,13.5,0.0,0.0,0.0
3.0,468.0,17.0,53.0,205.0,9.0,106.58999999999999,5.777,22.345,13.5,3.2945101224701214,-3.2945101224701214,3.2945101224701214
3.0,495.0,18.0,77.0,184.0,9.0,112.85999999999999,8.393,20.056,13.5,0.5543951643962088,0.5543951643962088,0.5543951643962088
3.0,522.0,19.0,84.0,174.0,9.0,119.13,9.156,18.966,13.5,0.21220327944417441,0.21220327944417441,0.21220327944417441
3.0,550.0,20.0,87.0,170.0,10.0,125.39999999999999,9.483,18.53,15.0,0.2545359109705778,0.2545359109705778,0.08692185007974482
3.0,577.0,21.0,93.0,162.0,10.0,131.67,10.137,17.658,15.0,0.17384370015948963,0.17384370015948963,0.17384370015948963
3.0,874.0,32.0,74.0,176.0,10.0,200.64,8.066,19.184,15.0,0.4102858646288511,-0.4102858646288511,0.4102858646288511
3.0,901.0,33.0,75.0,172.0,10.0,206.91,8.175,18.748,15.0,0.07167759381057814,0.07167759381057814,0.07167759381057814
3.0,928.0,34.0,93.0,146.0,10.0,213.17999999999998,10.137,15.914,15.0,0.5497420493753644,0.5497420493753644,0.5497420493753644
3.0,955.0,35.0,112.0,124.0,10.0,219.45,12.208,13.516,15.0,0.5053442303217228,0.5053442303217228,0.5053442303217228
3.0,982.0,36.0,130.0,103.0,10.0,225.71999999999997,14.17,11.227,15.0,0.48082791667221275,0.48082791667221275,0.48082791667221275
